"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_45";"v_32";"v_33";"v_46";"v_47";"v_48";"v_49";"v_50";"v_51";"v_52";"v_53";"v_54";"v_55";"v_56";"v_57";"v_58";"v_1";"v_39";"v_40";"v_59";"v_60";"v_61";"v_62";"v_42";"v_63";"v_64";"v_65";"v_66";"v_67";"v_68";"v_69";"v_70";"v_71";"v_72";"v_73";"v_74";"v_75";"v_76";"v_77";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"43";"0";"0";"31";"7226503";"0.32";"292";"126";"5";"5";"5";"4";"1";"2";"3";"3";"4";"3";"5";"3";"3";"3";"5";"2";"2";"3";"1";"3";"4";"4";"4";"3";"4";"5";"4";"4";"2";"3";"2";"3";"4";"3";"4";"Not at all";"It could have been better with more real life vr scenes ";"Yes , because it isolates you from the real world";"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Brave/1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"0";"0";"-77";"-77";"44e0a92cc2a08768c45e2bd532c5240e";"1";"2";"1761306583";"2025-10-24 11:49:43";"2025-10-24 11:54:35";"0000-00-00 00:00:00"
"44";"0";"0";"31";"7226503";"0.76";"458";"127";"5";"5";"4";"4";"4";"5";"4";"4";"4";"4";"5";"4";"2";"2";"3";"1";"3";"3";"3";"4";"3";"3";"-77";"-77";"-77";"-77";"-77";"3";"3";"4";"1";"2";"4";"1";"4";"Not at all";"Quite relaxing ";"Sure";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"0";"0";"-77";"-77";"9cf6b96e5fa507a059c9960705f236e5";"1";"2";"1761307065";"2025-10-24 11:57:45";"2025-10-24 12:05:23";"0000-00-00 00:00:00"
"45";"0";"0";"31";"7226503";"0.66";"521";"115";"3";"3";"4";"2";"1";"1";"5";"2";"5";"2";"5";"2";"3";"2";"3";"2";"4";"5";"5";"5";"5";"5";"4";"3";"2";"3";"2";"5";"1";"2";"2";"1";"3";"1";"4";"The voiceover during the meditation session is too much, it breaks the rhythm of peace and quiet. It was slightly irritating.";"It was very immersive and compelling. It soothed my mind and body. ";"I would try it!";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"0";"0";"-77";"-77";"e05d33cc8105c8266cb9efdfe449c626";"1";"2";"1761313296";"2025-10-24 13:41:36";"2025-10-24 13:50:17";"0000-00-00 00:00:00"
"46";"0";"0";"31";"7226503";"0.5";"297";"121";"4";"4";"3";"4";"2";"2";"3";"3";"3";"2";"3";"2";"1";"3";"4";"1";"4";"4";"3";"3";"3";"3";"-77";"-77";"-77";"-77";"-77";"4";"2";"4";"2";"4";"4";"2";"4";"Little bit due to high brightness.";"Very much ";"Yes ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"07bb680e4740ad84de5bca489a2b6756";"1";"2";"1761588339";"2025-10-27 18:05:39";"2025-10-27 18:10:36";"0000-00-00 00:00:00"
"47";"0";"0";"31";"7226503";"0.3";"258";"125";"5";"4";"3";"3";"5";"5";"2";"4";"3";"3";"2";"3";"3";"1";"2";"2";"3";"3";"3";"3";"2";"4";"5";"5";"4";"4";"3";"5";"5";"3";"1";"5";"5";"1";"5";"-99";"Very much";"Yes";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7227869,7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"0";"0";"-77";"-77";"df6664f69054ffbc83ba58ca01bfcfbe";"1";"2";"1761650918";"2025-10-28 11:28:38";"2025-10-28 11:32:56";"0000-00-00 00:00:00"
"48";"0";"0";"31";"7226503";"0.57";"489";"130";"4";"5";"3";"4";"4";"5";"2";"4";"3";"5";"3";"4";"3";"2";"3";"2";"4";"4";"4";"5";"3";"4";"4";"3";"5";"4";"4";"4";"2";"3";"1";"3";"4";"2";"4";"The headset was heavy other than that it was good";"Very immersive the guidance was good and light on my eyes helped me to breathe long breath. I felt very calm after session.";"The guidance through voice and breathing guidance through lights helped me to do meditation very well. I choose high I think the session should be longer. It ended very quickly.";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"1";"0";"-77";"-77";"e7c20ca8bbe87f5ea04748372e29881f";"1";"2";"1761652171";"2025-10-28 11:49:31";"2025-10-28 11:57:40";"0000-00-00 00:00:00"
"49";"0";"0";"31";"7226503";"0.26";"212";"131";"3";"2";"4";"3";"2";"4";"3";"2";"3";"1";"4";"1";"2";"1";"5";"1";"3";"3";"4";"4";"3";"4";"-77";"-77";"-77";"-77";"-77";"3";"2";"3";"2";"2";"3";"1";"3";"Everything was ok";"It was normal. ";"Yes. I often meditate";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"1";"0";"-77";"-77";"fa5f706f23d9263d999f4cb08606523f";"1";"2";"1761654519";"2025-10-28 12:28:39";"2025-10-28 12:32:11";"0000-00-00 00:00:00"
"50";"0";"0";"31";"7226503";"0.67";"507";"132";"3";"4";"4";"4";"2";"2";"4";"3";"4";"3";"4";"3";"1";"3";"4";"2";"3";"3";"4";"5";"3";"5";"4";"4";"4";"2";"2";"5";"4";"4";"3";"4";"4";"1";"4";"No";"Very compelling ";"Maybe, I believe meditation in an open environment breathing fresh air would be more compelling ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"1";"0";"-77";"-77";"aa9da62153b63959659f9999b67f08e8";"1";"2";"1761655707";"2025-10-28 12:48:27";"2025-10-28 12:56:54";"0000-00-00 00:00:00"
"51";"0";"0";"31";"7226503";"0.68";"422";"103";"3";"3";"4";"3";"2";"2";"4";"3";"4";"3";"4";"3";"2";"3";"4";"1";"4";"4";"4";"4";"4";"4";"-77";"-77";"-77";"-77";"-77";"4";"3";"4";"2";"4";"4";"1";"4";"No";"Very immersive ";"Yes, conventional method is more immersive and engaging ";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"1";"0";"-77";"-77";"1fc5e1327d421d56c78f3a90e020be26";"1";"2";"1761656250";"2025-10-28 12:57:30";"2025-10-28 13:04:32";"0000-00-00 00:00:00"
"52";"0";"0";"31";"7226503";"0.46";"370";"133";"2";"4";"3";"4";"1";"2";"3";"4";"3";"3";"2";"2";"1";"1";"3";"2";"4";"3";"3";"4";"2";"3";"4";"2";"3";"2";"2";"4";"1";"2";"1";"1";"4";"1";"4";"Not al all.";"I was completely into it I was feeling sleepy   ";"Yeah.. I felt relaxed and sleepy.";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"1";"0";"-77";"-77";"ec46f5603058aa315e8c1c235f9ce0ca";"1";"2";"1761659394";"2025-10-28 13:49:54";"2025-10-28 13:56:04";"0000-00-00 00:00:00"
"53";"0";"0";"31";"7226503";"0.61";"554";"122";"3";"4";"4";"2";"1";"3";"3";"3";"2";"4";"2";"5";"3";"2";"3";"2";"3";"2";"4";"3";"1";"3";"5";"4";"4";"5";"5";"4";"1";"4";"1";"4";"4";"1";"5";"No I didn't feel any distraction.";"It was a nice experience and very relaxing one.";"Yes I will choose this method again because it is more personal because of no human being involved in it.";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"1";"0";"-77";"-77";"e0f5cda4a9afa09a71d2da85f8319630";"1";"2";"1761660762";"2025-10-28 14:12:42";"2025-10-28 14:21:56";"0000-00-00 00:00:00"
"54";"0";"0";"31";"7226503";"0.55";"342";"123";"4";"4";"5";"4";"1";"4";"4";"3";"4";"4";"4";"3";"5";"2";"5";"1";"3";"3";"4";"4";"3";"3";"-77";"-77";"-77";"-77";"-77";"5";"1";"5";"1";"4";"4";"0";"1";"NO,AS I ALREADY EXPEREINCE MEDITATION ALOT, I LOVE TO DO IT AGAIN ANG AGAIN";"ITS WAS QUITE WELL";"CONVENTIONAL, I FEEL MORE COMFORT AND EXPERIENCE THIS ALOT IN MY LIFE";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"0";"0";"-77";"-77";"4b3f4595404696ef405acd8325343fe9";"1";"2";"1761664783";"2025-10-28 15:19:43";"2025-10-28 15:25:25";"0000-00-00 00:00:00"
"55";"0";"0";"31";"7226503";"0.27";"209";"105";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"1";"1";"1";"1";"1";"1";"1";"-77";"-77";"-77";"-77";"-77";"2";"1";"2";"1";"1";"1";"1";"1";"Hmmm ";"-99";"-99";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"1";"0";"0";"-77";"-77";"1e08f6c2b7dec160c0b1bbcba452d77f";"1";"2";"1761667052";"2025-10-28 15:57:32";"2025-10-28 16:01:01";"0000-00-00 00:00:00"
"56";"0";"0";"31";"7226503";"0.21";"168";"114";"3";"4";"2";"4";"3";"2";"4";"3";"4";"3";"4";"2";"4";"1";"3";"1";"4";"4";"3";"4";"4";"4";"-77";"-77";"-77";"-77";"-77";"5";"2";"5";"1";"4";"5";"3";"5";"-99";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7227869,7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"298d9fbab826bdbda86a918ef98e854c";"1";"2";"1762066920";"2025-11-02 07:02:00";"2025-11-02 07:04:48";"0000-00-00 00:00:00"
"57";"0";"0";"31";"7226503";"0.35";"614";"113";"1";"3";"4";"4";"2";"2";"4";"2";"3";"2";"4";"2";"1";"2";"3";"2";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"1";"5";"1";"4";"5";"1";"4";"-99";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"1";"0";"-77";"-77";"879ba383ddf402563c246a15a9112628";"1";"2";"1761670903";"2025-10-28 17:01:43";"2025-10-28 17:11:57";"0000-00-00 00:00:00"
"58";"0";"0";"31";"7226503";"0.77";"536";"119";"4";"4";"4";"3";"2";"3";"4";"3";"3";"2";"3";"2";"1";"2";"3";"1";"4";"4";"4";"4";"5";"4";"-77";"-77";"-77";"-77";"-77";"5";"3";"5";"1";"4";"3";"1";"4";"No";"It was very immersive";"Yes. It relaxed my body and mind releasing tension.";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"0";"0";"-77";"-77";"03035db4e2043a7c0adb8c3d12e58ac9";"1";"2";"1761700401";"2025-10-29 01:13:21";"2025-10-29 01:22:17";"0000-00-00 00:00:00"
"71";"0";"0";"31";"7226503";"0.54";"440";"124";"3";"4";"4";"3";"2";"3";"3";"3";"3";"3";"3";"3";"2";"2";"4";"2";"2";"3";"5";"5";"2";"4";"4";"3";"4";"5";"2";"4";"3";"4";"2";"3";"3";"3";"4";"Not at all";"Very good ";"Yes. Because it was peaceful ";"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/142.0.7444.128 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"0";"0";"0";"-77";"-77";"b562e721ae884305c3bf4719b9845f82";"1";"2";"1762935659";"2025-11-12 08:20:59";"2025-11-12 08:28:19";"0000-00-00 00:00:00"
"59";"0";"0";"31";"7226503";"0.59";"338";"134";"5";"4";"2";"4";"2";"4";"2";"4";"2";"5";"2";"3";"2";"1";"2";"1";"2";"1";"2";"1";"4";"3";"-77";"-77";"-77";"-77";"-77";"1";"3";"1";"3";"1";"2";"3";"2";"Yes.. I could not focus due to work load and other things kept on coming with each breath I took...";"Not at all I was recalling other work related things.";"I don't know how to meditate. So no";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7244682,7226503";"0";"1";"0";"-77";"-77";"3375eef611007be9c697a016e9095f75";"1";"2";"1762175629";"2025-11-03 13:13:49";"2025-11-03 13:19:27";"0000-00-00 00:00:00"
"60";"0";"0";"31";"7226503";"0.61";"561";"120";"3";"3";"4";"3";"1";"3";"4";"2";"3";"2";"4";"1";"1";"3";"4";"2";"3";"3";"4";"3";"3";"4";"3";"2";"2";"4";"2";"4";"2";"3";"1";"2";"3";"1";"4";"The head set was bit heavy than meta one.. I normally use meta VR headset.. so it bit uncomfortable. It was good experience.";"Very much immersive. The music along with the guidance helped me to do meditation. And the light for breathing was bit slower so I had problem with breathing with that pace.";"Definitely. It was good and relaxing experience. It needs to have some other features added to it like some land scape view. For complete immersion in vr.";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"7227869,7226972,7227905,7227902,7228112,7244682,7226503";"1";"0";"0";"-77";"-77";"fa45b9c920e4ba909a34bf33e7eb0215";"1";"2";"1762176080";"2025-11-03 13:21:20";"2025-11-03 13:30:41";"0000-00-00 00:00:00"
